epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,151.583,2.38724,3.17027,1.7021,0.52752,0.13065,0.1043,0.05086,1.86626,1.73727,1.36739,0.00027682,0.00027682,0.00027682
2,280.466,1.69786,1.78683,1.26545,0.41239,0.20618,0.19494,0.10505,1.61651,1.44228,1.22982,0.000499593,0.000499593,0.000499593
3,405.739,1.55774,1.45318,1.19492,0.50835,0.25659,0.25482,0.13469,1.51883,1.28544,1.17881,0.000667387,0.000667387,0.000667387
4,530.729,1.47689,1.2884,1.15606,0.4763,0.28894,0.29026,0.15854,1.47266,1.25244,1.15612,0.000585599,0.000585599,0.000585599
5,654.964,1.42309,1.19378,1.1318,0.50061,0.32728,0.33507,0.19008,1.42,1.16059,1.14358,0.000503132,0.000503132,0.000503132
6,782.3,1.37466,1.11475,1.11058,0.47768,0.35536,0.37055,0.20654,1.40114,1.12338,1.12813,0.000420665,0.000420665,0.000420665
7,906.409,1.33668,1.0646,1.09505,0.44656,0.38002,0.37066,0.20861,1.39488,1.09523,1.11774,0.000338198,0.000338198,0.000338198
8,1024.91,1.31043,1.0306,1.08308,0.4748,0.40112,0.39851,0.23172,1.34771,1.08356,1.09213,0.000255731,0.000255731,0.000255731
9,1144.25,1.29127,0.99928,1.07463,0.52305,0.39887,0.41898,0.23811,1.33163,1.0538,1.09214,0.000173264,0.000173264,0.000173264
10,1263.25,1.26462,0.96945,1.06473,0.53686,0.41242,0.43577,0.25572,1.32159,1.03513,1.0851,9.0797e-05,9.0797e-05,9.0797e-05
